#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf61.5.101
#tb 0: 1/25
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1024x576
#sar 0: 1/1
#tb 1: 1/48000
#media_type 1: audio
#codec_id 1: pcm_s16le
#sample_rate 1: 48000
#channel_layout_name 1: mono
#stream#, dts,        pts, duration,     size, hash
1,     226304,     226304,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,        118,        118,        1,  2359296, 46a143d09558c148cc89a019102476a8
1,     227328,     227328,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     228352,     228352,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,        119,        119,        1,  2359296, 02071254c82382872cfb994b4815acce
1,     229376,     229376,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,        120,        120,        1,  2359296, 1685b67b787c8458702d70ce4875771a
1,     230400,     230400,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     231424,     231424,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,        121,        121,        1,  2359296, 74e3e962677f35d42e5f4df470a98641
1,     232448,     232448,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
1,     233472,     233472,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
0,        122,        122,        1,  2359296, 727c60182a1b5f643ccbbcaf6e6fbc7b
1,     234496,     234496,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
1,     235520,     235520,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,        123,        123,        1,  2359296, 459b6044b49428387f76d599d6e3dd4e
1,     236544,     236544,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     237568,     237568,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,        124,        124,        1,  2359296, b4a2315c243b5ad9372e6268e7180ca4
1,     238592,     238592,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
1,     239616,     239616,      384,      768, bd53a0633945bdd767723e004d8be3e2
